case_id,control_family,comment,detection_status,decision,ignored_by_whitelist,whitelist_expression,whitelist_reason,detection_engine,predicted_key,code,rule_id,rule_scope,regulatory_family,section,category,matched_term,detection_type,score,branch_score,generic_score,spacy_score,gliner_score,regex_score,severity,evidence
case_001,generic,Terme interdit issu de Mots_interdits: Handicap.,active,alerte active,False,,,generic,mots_interdits_001_handicap,article9_donnees_sensibles_article_9_rgpd,mots_interdits_001_handicap,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,Handicap,exact,0.9,0.9,0.9,,,,critical,Le dossier mentionne un handicap declare par le client.
case_001,generic,Terme interdit issu de Mots_interdits: Handicap.,active,alerte active,False,,,spacy,mots_interdits_001_handicap,article9_donnees_sensibles_article_9_rgpd,mots_interdits_001_handicap,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,Handicap,exact,0.9,0.9,,0.9,,,critical,Le dossier mentionne un handicap declare par le client.
case_001,generic,Terme interdit issu de Mots_interdits: Handicap.,active,alerte active,False,,,gliner,gliner_handicap,gliner_handicap,gliner_handicap,gliner,gliner,document,handicap,handicap,entity,0.66,0.66,,,0.66,,medium,Le dossier mentionne un handicap declare par le client.
case_002,generic,Terme interdit issu de Mots_interdits: cancer.,active,alerte active,False,,,generic,mots_interdits_006_cancer,article9_donnees_sensibles_article_9_rgpd,mots_interdits_006_cancer,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,cancer,exact,0.9,0.9,0.9,,,,critical,La note interne indique un antecedent de cancer.
case_002,generic,Terme interdit issu de Mots_interdits: cancer.,active,alerte active,False,,,spacy,mots_interdits_006_cancer,article9_donnees_sensibles_article_9_rgpd,mots_interdits_006_cancer,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,cancer,exact,0.9,0.9,,0.9,,,critical,La note interne indique un antecedent de cancer.
case_002,generic,Terme interdit issu de Mots_interdits: cancer.,active,alerte active,False,,,gliner,gliner_maladie,gliner_maladie,gliner_maladie,gliner,gliner,document,maladie,cancer,entity,0.54,0.54,,,0.54,,medium,La note interne indique un antecedent de cancer.
case_003,generic,Terme interdit issu de Mots_interdits: depression.,active,alerte active,False,,,generic,mots_interdits_008_depression,article9_donnees_sensibles_article_9_rgpd,mots_interdits_008_depression,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,dépression,exact,0.9,0.9,0.9,,,,critical,Le client parle d'une depression ancienne dans le formulaire.
case_003,generic,Terme interdit issu de Mots_interdits: depression.,active,alerte active,False,,,spacy,mots_interdits_008_depression,article9_donnees_sensibles_article_9_rgpd,mots_interdits_008_depression,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,dépression,exact,0.9,0.9,,0.9,,,critical,Le client parle d'une depression ancienne dans le formulaire.
case_004,generic,Expression interdite issue de Mots_interdits: traitement lourd.,active,alerte active,False,,,generic,mots_interdits_016_traitement_lourd,article9_donnees_sensibles_article_9_rgpd,mots_interdits_016_traitement_lourd,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,traitement lourd,exact,0.9,0.9,0.9,,,,critical,La zone libre indique un traitement lourd en cours.
case_004,generic,Expression interdite issue de Mots_interdits: traitement lourd.,active,alerte active,False,,,spacy,mots_interdits_016_traitement_lourd,article9_donnees_sensibles_article_9_rgpd,mots_interdits_016_traitement_lourd,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,traitement lourd,exact,0.9,0.9,,0.9,,,critical,La zone libre indique un traitement lourd en cours.
