case_id,control_family,comment,detection_status,decision,detection_engine,detection_count,max_score,predicted_keys,matched_terms,whitelist_expressions
case_001,generic,Terme interdit issu de Mots_interdits: Handicap.,active,alerte active,generic,1,0.9,mots_interdits_001_handicap,Handicap,
case_001,generic,Terme interdit issu de Mots_interdits: Handicap.,active,alerte active,gliner,1,0.66,gliner_handicap,handicap,
case_001,generic,Terme interdit issu de Mots_interdits: Handicap.,active,alerte active,spacy,1,0.9,mots_interdits_001_handicap,Handicap,
case_002,generic,Terme interdit issu de Mots_interdits: cancer.,active,alerte active,generic,1,0.9,mots_interdits_006_cancer,cancer,
case_002,generic,Terme interdit issu de Mots_interdits: cancer.,active,alerte active,gliner,1,0.54,gliner_maladie,cancer,
case_002,generic,Terme interdit issu de Mots_interdits: cancer.,active,alerte active,spacy,1,0.9,mots_interdits_006_cancer,cancer,
case_003,generic,Terme interdit issu de Mots_interdits: depression.,active,alerte active,generic,1,0.9,mots_interdits_008_depression,dépression,
case_003,generic,Terme interdit issu de Mots_interdits: depression.,active,alerte active,spacy,1,0.9,mots_interdits_008_depression,dépression,
case_004,generic,Expression interdite issue de Mots_interdits: traitement lourd.,active,alerte active,generic,1,0.9,mots_interdits_016_traitement_lourd,traitement lourd,
case_004,generic,Expression interdite issue de Mots_interdits: traitement lourd.,active,alerte active,spacy,1,0.9,mots_interdits_016_traitement_lourd,traitement lourd,
case_005,generic,Terme interdit issu de Mots_interdits: menteur.,active,alerte active,generic,1,0.85,mots_interdits_046_menteur,menteur,
case_005,generic,Terme interdit issu de Mots_interdits: menteur.,active,alerte active,spacy,1,0.85,mots_interdits_046_menteur,menteur,
case_006,generic,Expression interdite issue de Mots_interdits: Client desagreable.,active,alerte active,generic,1,0.85,mots_interdits_044_client_desagreable,Client désagréable,
case_006,generic,Expression interdite issue de Mots_interdits: Client desagreable.,active,alerte active,spacy,1,0.85,mots_interdits_044_client_desagreable,Client désagréable,
case_007,generic,Expression interdite issue de Mots_interdits: numero de securite sociale.,active,alerte active,generic,1,0.85,mots_interdits_066_numero_de_securite_sociale,numéro de sécurité sociale,
case_007,generic,Expression interdite issue de Mots_interdits: numero de securite sociale.,active,alerte active,spacy,1,0.85,mots_interdits_066_numero_de_securite_sociale,numéro de sécurité sociale,
case_008,generic,Expression interdite issue de Mots_interdits: adresse email privee.,active,alerte active,generic,1,0.85,mots_interdits_071_adresse_email_privee,adresse email privée,
case_008,generic,Expression interdite issue de Mots_interdits: adresse email privee.,active,alerte active,spacy,1,0.85,mots_interdits_071_adresse_email_privee,adresse email privée,
case_009,generic,Expression interdite issue de Mots_interdits: mot de passe.,active,alerte active,generic,1,0.85,mots_interdits_077_mot_de_passe,mot de passe,
case_009,generic,Expression interdite issue de Mots_interdits: mot de passe.,active,alerte active,spacy,1,0.85,mots_interdits_077_mot_de_passe,mot de passe,
case_010,generic,Expression interdite issue de Mots_interdits: code CVV.,active,alerte active,generic,1,0.85,mots_interdits_076_code_cvv,code CVV,
case_010,generic,Expression interdite issue de Mots_interdits: code CVV.,active,alerte active,spacy,1,0.85,mots_interdits_076_code_cvv,code CVV,
case_011,generic,Faute volontaire sur Mots_interdits: depression.,active,alerte active,generic,1,0.75,mots_interdits_008_depression,depresion,
case_011,generic,Faute volontaire sur Mots_interdits: depression.,active,alerte active,spacy,1,0.74,mots_interdits_008_depression,depresion,
case_012,generic,Faute volontaire sur Mots_interdits: Handicap.,active,alerte active,generic,1,0.75,mots_interdits_001_handicap,handicaape,
case_012,generic,Faute volontaire sur Mots_interdits: Handicap.,active,alerte active,gliner,2,0.72,gliner_handicap | gliner_religion,handicaape,
case_012,generic,Faute volontaire sur Mots_interdits: Handicap.,active,alerte active,spacy,1,0.74,mots_interdits_001_handicap,handicaape,
case_013,generic,Meme racine/pluriel autour de Mots_interdits: alcoolique.,active,alerte active,generic,2,0.82,mots_interdits_012_alcoolique | mots_interdits_054_alcoolique,alcooliques,
case_013,generic,Meme racine/pluriel autour de Mots_interdits: alcoolique.,active,alerte active,spacy,2,0.83,mots_interdits_012_alcoolique | mots_interdits_054_alcoolique,alcooliques,
case_014,generic,Faute volontaire sur Mots_interdits: numero de securite sociale.,active,alerte active,generic,1,0.7,mots_interdits_066_numero_de_securite_sociale,numero de securite social,
case_014,generic,Faute volontaire sur Mots_interdits: numero de securite sociale.,active,alerte active,spacy,2,0.78,mots_interdits_055_marginal | mots_interdits_066_numero_de_securite_sociale,numero de securite social | social,
case_015,generic,Faute volontaire sur Mots_interdits: traitement lourd.,active,alerte active,generic,1,0.75,mots_interdits_016_traitement_lourd,traitement lour,
case_015,generic,Faute volontaire sur Mots_interdits: traitement lourd.,active,alerte active,spacy,1,0.74,mots_interdits_016_traitement_lourd,traitement lour,
case_016,ExpReg,numero de telephone avec des caracteres speciaux pour la separation,active,alerte active,regex,1,0.9,PHONE_NUMBER_FR,06.02 01-0908,
case_017,ExpReg,contact email,active,alerte active,regex,1,0.95,EMAIL_ADDRESS,test@yahoo.fr,
case_018,ExpREg,racine commune mais pas synonyme ,active,alerte active,gliner,1,0.76,gliner_autisme,autiste,
case_019,Gliner,vision politique,active,alerte active,gliner,1,0.55,gliner_ideologie_politique,extreme droite,
case_021,Generic,test de la whiteList,ignored_by_whitelist,detecte puis ignore par whitelist,generic,1,0.9,mots_interdits_001_handicap,Handicap,carac handicap
case_021,Generic,test de la whiteList,ignored_by_whitelist,detecte puis ignore par whitelist,gliner,2,0.77,gliner_handicap | gliner_religion,CARAC | handicap,carac handicap
case_021,Generic,test de la whiteList,ignored_by_whitelist,detecte puis ignore par whitelist,spacy,1,0.9,mots_interdits_001_handicap,Handicap,carac handicap
case_022,Spacy,test d'identification d un synonyme de malaldie,active,alerte active,spacy,1,0.79,mots_interdits_005_maladie,pathologies,
case_023,Spacy,detection d un mots similaire à menteur,active,alerte active,spacy,1,0.78,mots_interdits_046_menteur,menteuse,
case_024,Spacy,phrase sans contexte extension du cas 19 et 20,active,alerte active,gliner,1,0.6,gliner_ideologie_politique,extreme droite,
case_025,Gliner,Test d identification d une malaide non presente dans les mots interdit,active,alerte active,gliner,1,0.76,gliner_maladie,diabète de type 2,
case_027,Gliner,Detection GLiNER d une pathologie absente des mots interdits,active,alerte active,gliner,1,0.51,gliner_maladie,sclerose en plaques,
case_028,ExpReg,Detection regex d un IBAN francais sans mot cle generique IBAN,active,alerte active,regex,1,0.95,IBAN_FR,FR76 3000 6000 0112 3456 7890 189,
case_029,Spacy,variante du cas 26 avec accent sur montrée,active,alerte active,spacy,1,0.78,mots_interdits_045_agressif,agressive,
case_030,Spacy,Detection par lemmatisation spaCy de agressives vers agressif sans synonyme configure,active,alerte active,spacy,1,0.78,mots_interdits_045_agressif,agressives,
